nohup: ignoring input
Warning: no zeus installation found. Will not be able to sample using sampler = 'zeus'.
Points before clipping: 28561
Points after clipping:  28267
Points removed:         294
Data runs from 3775.29 to 3828.51 BTJD
T0 folded into data window: 3803.241260 BTJD
Number of transits in data: 12
	 Transit fit detected for instrument  TESS
	 >> ecc,omega parametrization detected for lc planet p1
	 >> (b,p) parametrization detected for lc planet p1
Fitting with dynesty using 24 cores...
WARNING: use of the use_dynesty argument is deprecated and will be removed in future juliet versions. Use the "sampler" string instead; for more information, check the API of juliet.fit: https://juliet.readthedocs.io/en/latest/user/api.html#juliet.fit
WARNING: use of the dynesty_nthreads argument is deprecated and will be removed in future juliet versions. Use the "nthreads" argument instead; for more information, check the API of juliet.fit: https://juliet.readthedocs.io/en/latest/user/api.html#juliet.fit

0it [00:00, ?it/s]
1it [00:01,  1.01s/it, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf <   -inf <    inf | logz:   -inf +/-  0.117 | dlogz:    inf >  0.509]
24it [00:02, 13.50it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -204313.492 <    inf | logz: -204320.448 +/-  0.118 | dlogz: 311883.231 >  0.509]
47it [00:03, 16.91it/s, bound: 0 | nc: 2 | ncall: 549 | eff(%):  8.561 | loglstar:   -inf < -40815.262 <    inf | logz: -40822.264 +/-  0.118 | dlogz: 129716.786 >  0.509]  
68it [00:04, 17.94it/s, bound: 0 | nc: 2 | ncall: 575 | eff(%): 11.826 | loglstar:   -inf < 8392.233 <    inf | logz: 8385.189 +/-  0.119 | dlogz: 76027.997 >  0.509]     
92it [00:05, 19.09it/s, bound: 0 | nc: 2 | ncall: 604 | eff(%): 15.232 | loglstar:   -inf < 38690.810 <    inf | logz: 38683.719 +/-  0.119 | dlogz: 46153.196 >  0.509]
115it [00:06, 20.17it/s, bound: 0 | nc: 1 | ncall: 634 | eff(%): 18.139 | loglstar:   -inf < 50945.490 <    inf | logz: 50938.352 +/-  0.119 | dlogz: 32907.297 >  0.509]
139it [00:07, 20.57it/s, bound: 0 | nc: 2 | ncall: 666 | eff(%): 20.871 | loglstar:   -inf < 58712.192 <    inf | logz: 58705.007 +/-  0.120 | dlogz: 25189.819 >  0.509]
161it [00:08, 20.67it/s, bound: 0 | nc: 1 | ncall: 694 | eff(%): 23.199 | loglstar:   -inf < 63018.047 <    inf | logz: 63010.817 +/-  0.120 | dlogz: 21044.453 >  0.509]
185it [00:09, 20.96it/s, bound: 0 | nc: 1 | ncall: 734 | eff(%): 25.204 | loglstar:   -inf < 67707.649 <    inf | logz: 67700.372 +/-  0.121 | dlogz: 16062.466 >  0.509]
208it [00:10, 21.33it/s, bound: 0 | nc: 1 | ncall: 774 | eff(%): 26.873 | loglstar:   -inf < 69714.120 <    inf | logz: 69706.797 +/-  0.121 | dlogz: 14058.622 >  0.509]
231it [00:11, 20.98it/s, bound: 0 | nc: 2 | ncall: 809 | eff(%): 28.554 | loglstar:   -inf < 71873.560 <    inf | logz: 71866.191 +/-  0.121 | dlogz: 11807.037 >  0.509]
