2461156.80735     82.09  30.38        74       5  1200
2461156.82127    212.13  32.55        61       5  1200
2461156.84032     63.69  32.73        70       2  1200
2461157.81771     24.77  28.26       106       6  1501
2461157.84028    182.52  27.86        85       3  1200
2461157.85556      0.00  29.75        77       2  1200
2461159.79537   -552.89  29.35        77       5  1401
2461159.81226   -457.97  28.33        67       5  1400
2461159.83039   -594.37  33.96        81       2  1201
2461199.56515   -305.78  39.69        59       0  1200
2461199.58351   -376.96  33.07        50       0  1200
2461199.59512   -394.13  35.02        57       0  1200
