    0.834089517593383789E+01    0.916948556900024414E+02    0.231769050650814726E-01   -0.945947731114865405E+03   -0.570378062280500497E+01    1
    0.261462271213531494E+02    0.956966876983642578E+02    0.221244920752765861E-01   -0.944619653308451348E+03   -0.570711395613835482E+01    1
    0.216597914695739746E+02    0.944989204406738281E+02    0.132113186883135161E-02   -0.944227450444467422E+03   -0.571044728947168334E+01    1
    0.133187592029571533E+02    0.906081080436706543E+02    0.106203255313564219E-02   -0.938570482541322463E+03   -0.571378062280501098E+01    1
    0.193010568618774414E+01    0.868403792381286621E+02    0.102992990208588298E+01   -0.935362173016765496E+03   -0.571711395613834394E+01    1
    0.440899670124053955E+02    0.949804544448852539E+02    0.601693245072174379E-02   -0.929370905792878716E+03   -0.572044728947168135E+01    1
    0.490745365619659424E+02    0.939203500747680664E+02    0.177886378458052830E+00   -0.922536759222019555E+03   -0.572378062280502586E+01    1
    0.620101332664489746E+02    0.963231921195983887E+02    0.105034411943359446E-02   -0.921750846044630634E+03   -0.572711395613835883E+01    1
    0.277371168136596680E+02    0.885750889778137207E+02    0.750034809941753366E-02   -0.921091548107163590E+03   -0.573044728947169002E+01    1
    0.747490346431732178E+02    0.969562411308288574E+02    0.776044912349264926E-01   -0.915947338490547736E+03   -0.573378062280501766E+01    1
    0.843731641769409180E+02    0.985536217689514160E+02    0.998889483450546983E-02   -0.915593770410834281E+03   -0.573711395613834529E+01    1
    0.921795129776000977E+02    0.991283178329467773E+02    0.757447661626407531E-01   -0.913180691092639790E+03   -0.574044728947167915E+01    1
    0.920621931552886963E+02    0.983260631561279297E+02    0.135015827839420166E+01   -0.909038308602366442E+03   -0.574378062280501744E+01    1
    0.464212357997894287E+02    0.903491735458374023E+02    0.380161049567572640E+01   -0.900755338123776937E+03   -0.574711395613836196E+01    1
    0.153097212314605713E+02    0.753443717956542969E+02    0.475936621919378078E+00   -0.890861185426493421E+03   -0.575044728947169581E+01    1
    0.788680732250213623E+02    0.892023801803588867E+02    0.481751683242519380E+00   -0.888447258684481653E+03   -0.575378062280501634E+01    1
    0.286381840705871582E+01    0.708358049392700195E+02    0.586960650441764042E-01   -0.888408582516076649E+03   -0.575711395613834398E+01    1
    0.130226016044616699E+02    0.736908435821533203E+02    0.117278273163191074E+00   -0.888099768371357413E+03   -0.576044728947168139E+01    1
    0.789880752563476562E-01    0.695364475250244141E+02    0.340397495273751013E-02   -0.887118056781280416E+03   -0.576378062280501613E+01    1
    0.633741557598114014E+02    0.855916976928710938E+02    0.138104650749417833E-02   -0.886923722166517450E+03   -0.576711395613835531E+01    1
    0.819691419601440430E+02    0.877588033676147461E+02    0.508563026914759936E-01   -0.882263140285602731E+03   -0.577044728947169805E+01    1
    0.148291468620300293E+02    0.717561960220336914E+02    0.137389813215611473E+00   -0.881044701553526011E+03   -0.577378062280503279E+01    1
    0.748111963272094727E+02    0.855462670326232910E+02    0.335808461651312395E+00   -0.879516485251451968E+03   -0.577711395613835421E+01    1
    0.808969736099243164E+01    0.683751344680786133E+02    0.101791154387513141E+00   -0.877004162394057857E+03   -0.578044728947167474E+01    1
    0.540982067584991455E+02    0.997685790061950684E+02    0.870042933900403703E+01   -0.875530677591974609E+03   -0.578378062280501393E+01    1
    0.413486480712890625E+02    0.766607999801635742E+02    0.111332320977530525E-02   -0.874946819736331804E+03   -0.578711395613835577E+01    1
    0.313382923603057861E+02    0.735748410224914551E+02    0.484665481748662239E-02   -0.873316616132750823E+03   -0.579044728947169407E+01    1
    0.298505127429962158E+02    0.724591374397277832E+02    0.742055061901980822E-02   -0.871210888105457798E+03   -0.579378062280503325E+01    1
    0.440913140773773193E+02    0.761444568634033203E+02    0.688304194302991501E+00   -0.871048518267994837E+03   -0.579711395613835734E+01    1
    0.305310964584350586E+02    0.722479939460754395E+02    0.877196471648805133E-02   -0.870078139226376834E+03   -0.580044728947169297E+01    1
    0.286576509475708008E+02    0.702404260635375977E+02    0.395157281056821852E-01   -0.865730285246236463E+03   -0.580378062280502593E+01    1
    0.305641651153564453E+02    0.692891955375671387E+02    0.209635158585293663E+00   -0.861501896209930237E+03   -0.580711395613834647E+01    1
    0.449163854122161865E+02    0.729128003120422363E+02    0.369148423743396112E-01   -0.861342995648456053E+03   -0.581044728947168032E+01    1
    0.799695909023284912E+02    0.805982232093811035E+02    0.117906900574839858E-01   -0.861232241907230673E+03   -0.581378062280502572E+01    1
    0.755672693252563477E+02    0.795056581497192383E+02    0.357998222510081121E-01   -0.860570326519931314E+03   -0.581711395613836935E+01    1
    0.459415197372436523E+02    0.728090524673461914E+02    0.565167964229667825E-02   -0.860306060954787881E+03   -0.582044728947169965E+01    1
    0.820022344589233398E+02    0.882777690887451172E+02    0.545925578972082626E+01   -0.859732593960388385E+03   -0.582378062280502462E+01    1
    0.804223418235778809E+02    0.833270430564880371E+02    0.394759300943640001E+01   -0.856759990658723041E+03   -0.582711395613835315E+01    1
    0.670002996921539307E+02    0.839597105979919434E+02    0.569504731234146711E+01   -0.853453529091904443E+03   -0.583044728947169411E+01    1
    0.248724043369293213E+02    0.634015798568725586E+02    0.292452456749721108E-02   -0.849376112262565471E+03   -0.583378062280502441E+01    1
    0.549059331417083740E+02    0.710200786590576172E+02    0.127668708767576633E+01   -0.847488891541625208E+03   -0.583711395613834316E+01    1
    0.174032151699066162E+02    0.597105383872985840E+02    0.108766678017592263E-01   -0.845240157366402173E+03   -0.584044728947168412E+01    1
    0.923434019088745117E+02    0.776756405830383301E+02    0.126777448354305322E+00   -0.845126950102047658E+03   -0.584378062280502064E+01    1
    0.957370400428771973E+02    0.776749491691589355E+02    0.161807689664536167E-01   -0.843244534205886453E+03   -0.584711395613835627E+01    1
    0.908722400665283203E+02    0.856346011161804199E+02    0.593574166470230491E+01   -0.842592310143461873E+03   -0.585044728947168746E+01    1
    0.850219368934631348E+02    0.747476696968078613E+02    0.826520582459568720E+00   -0.839994701174624197E+03   -0.585378062280502132E+01    1
