    0.712544028624017187E+02   -0.533198249303230440E+02    0.896161306414058174E+02   -0.122606957219562744E+03
    0.457837397547276215E+01   -0.895233865362250896E+02    0.919592386386395191E+02   -0.121748716354723882E+03
    0.816869085736982754E+02   -0.436226784779614150E+02    0.921392338107643241E+02   -0.120990277681165580E+03
    0.943645799199003932E+02   -0.430975450003735503E+02    0.914220165626621082E+02   -0.120818437059661520E+03
    0.436157536642864940E+02   -0.332847226883827574E+02    0.975759894645994308E+02   -0.120734875996879381E+03
    0.756784571816608889E+02   -0.502200457137402765E+02    0.919237372108196382E+02   -0.120522261053442193E+03
    0.845569938069937699E+01   -0.917229047671283411E+02    0.926911185655558825E+02   -0.120401866499461676E+03
    0.842922370477131295E+02   -0.952765918715533644E+01    0.999015794285955110E+02   -0.120123182386932328E+03
    0.603537495527508394E+01   -0.628443933383366655E+02    0.970244864966736884E+02   -0.120107041781662716E+03
    0.303446036952963922E+02   -0.787364758311113064E+02    0.922793014787677777E+02   -0.120037251111290843E+03
    0.330990361665822306E+02   -0.769821773931796542E+02    0.923309913381541207E+02   -0.119942090876536099E+03
    0.499278579049151219E+02   -0.684243729170354982E+02    0.919142585367809204E+02   -0.119901162836549773E+03
    0.947564489502570240E+01   -0.493470411888396825E+02    0.992876608811717318E+02   -0.119642841655823787E+03
    0.255848432612484622E+02   -0.417286342696237895E+02    0.991009891060695622E+02   -0.119527282507646404E+03
    0.127772909337256877E+02   -0.541035301122169159E+02    0.984909334683258351E+02   -0.119373998025357963E+03
    0.420263706699275090E+02   -0.671218838247055203E+02    0.935483422510160239E+02   -0.119302018742294578E+03
    0.630403196658546250E+02   -0.369146291046988395E+02    0.969272016879006344E+02   -0.119209285432661872E+03
    0.225995824466926045E+02   -0.692985296796333330E+02    0.954719311490696469E+02   -0.119085357221855034E+03
    0.406476148328416613E+02   -0.693131145320977282E+02    0.935978953087947048E+02   -0.119083535146728323E+03
    0.577650640876319912E+02   -0.659406061218536763E+02    0.924382692190541491E+02   -0.119078188274786797E+03
    0.449173989353111196E+02   -0.725126771385072857E+02    0.927115671265782595E+02   -0.119063028212161910E+03
    0.261769163905194020E+02   -0.929673581433859795E+02    0.920016149869509547E+02   -0.119059330410786217E+03
    0.141222453334466138E+02   -0.770980397545224321E+02    0.953361920033605656E+02   -0.119055940571370229E+03
    0.410029829048953331E+02   -0.589720952623123651E+02    0.953005226276604702E+02   -0.118977431676579826E+03
    0.837911550182444955E+02   -0.272279607794046683E+02    0.975418200720683899E+02   -0.118898472198767578E+03
    0.505484747421162908E+02   -0.735731855809177944E+02    0.922122678820405923E+02   -0.118859595977427063E+03
    0.409077343953544781E+00   -0.916741933155408617E+02    0.953366889173765202E+02   -0.118857234826065607E+03
    0.294256901631809562E+02   -0.859524271110458358E+02    0.927377066516553441E+02   -0.118842840070510519E+03
    0.615001416352211621E+02   -0.434920482420329222E+02    0.962763255736974202E+02   -0.118809637115717607E+03
    0.227344359790786221E+02   -0.949299690636675706E+02    0.924916066904240779E+02   -0.118760081431600199E+03
    0.557108349681610022E+02   -0.695034221184005645E+02    0.925012082517973369E+02   -0.118694608822102282E+03
    0.269826426050527033E+02   -0.747945285653268854E+02    0.946647756441498274E+02   -0.118692736569613785E+03
    0.158144442575108215E+02   -0.858611914198302486E+02    0.945008028997117009E+02   -0.118630225765139230E+03
    0.401858258292024075E+02   -0.436983001079237567E+02    0.984128999524488250E+02   -0.118622741466414936E+03
    0.172964533068543567E+02   -0.898238031520667590E+02    0.938640743118097731E+02   -0.118618192091754636E+03
    0.231640383818696662E+02   -0.787510177802724911E+02    0.946180583669718089E+02   -0.118617846307795602E+03
    0.175638600568461420E+02   -0.689213631593144669E+02    0.966052548709176477E+02   -0.118616339086017220E+03
    0.379216372669262514E+01   -0.636193047097114714E+02    0.989892865684932985E+02   -0.118528433361579872E+03
    0.622992131732562839E+02   -0.529345618197594163E+02    0.948461452008106392E+02   -0.118500472011363158E+03
    0.343550602765595627E+02   -0.581845727944269058E+02    0.967256247233588056E+02   -0.118427526138419083E+03
    0.330760758133024879E+02   -0.553414643503573487E+02    0.973224134429423913E+02   -0.118426823548883746E+03
    0.752779176221625601E+01   -0.844229173214289972E+02    0.959081377266358714E+02   -0.118382952001160177E+03
    0.878268250473337275E+01   -0.760642923725866922E+02    0.968533973047340453E+02   -0.118376999096729193E+03
    0.551541649509606060E+02   -0.498663592881553157E+02    0.963240517194863202E+02   -0.118262866055875506E+03
    0.364251982925254367E+02   -0.580173604522571296E+02    0.968160482888035148E+02   -0.118196008739854207E+03
    0.627930019143486007E+02   -0.432671137791549896E+02    0.969341761237089656E+02   -0.118183570058485657E+03
    0.447372343613817591E+02   -0.398768502047873170E+02    0.992140725471881098E+02   -0.118182249716966695E+03
    0.558209906293792173E+02   -0.486542972597633820E+02    0.966034280541142891E+02   -0.118157447665447464E+03
    0.405160316524404323E+02   -0.976347643996928412E+02    0.908616720639604836E+02   -0.118151242448117628E+03
    0.647688278390256844E+01   -0.780511906165235274E+02    0.971315379390516824E+02   -0.118137309461497040E+03
    0.394086140250056083E+01   -0.620645897780189131E+02    0.996925549800759825E+02   -0.118123514246041836E+03
